,min,max,bin_size,percent,relative,group
64.05 ~ 71.03,64.05,71.03,3,0.032161234991423676,0.3464203233256351,all
72.39 ~ 80.73,72.39,80.73,0,0,0,all
81.46 ~ 88.82,81.46,88.82,17,0.18224699828473415,1.9630484988452657,all
89.30 ~ 97.36,89.3,97.36,63,0.6753859348198971,7.274826789838337,all
97.60 ~ 105.65,97.6,105.65,120,1.2864493996569468,13.856812933025402,all
105.75 ~ 114.05,105.75,114.05,257,2.7551457975986278,29.676674364896073,all
114.09 ~ 122.41,114.09,122.41,419,4.491852487135506,48.38337182448037,all
122.44 ~ 130.76,122.44,130.76,583,6.25,67.32101616628175,all
130.77 ~ 139.06,130.77,139.06,612,6.560891938250429,70.66974595842956,all
139.10 ~ 147.42,139.1,147.42,747,8.008147512864493,86.25866050808314,all
147.47 ~ 155.77,147.47,155.77,798,8.554888507718697,92.14780600461894,all
155.78 ~ 164.09,155.78,164.09,829,8.887221269296742,95.72748267898383,all
164.14 ~ 172.45,164.14,172.45,866,9.283876500857632,100,all
172.50 ~ 180.76,172.5,180.76,753,8.072469982847341,86.95150115473442,all
180.81 ~ 189.10,180.81,189.10,667,7.1505145797598635,77.02078521939953,all
189.15 ~ 197.45,189.15,197.45,601,6.442967409948543,69.39953810623557,all
197.54 ~ 205.78,197.54,205.78,466,4.995711835334477,53.81062355658198,all
205.84 ~ 214.14,205.84,214.14,420,4.502572898799314,48.49884526558891,all
214.15 ~ 222.43,214.15,222.43,300,3.216123499142367,34.64203233256351,all
222.50 ~ 230.76,222.5,230.76,230,2.4656946826758146,26.558891454965355,all
230.89 ~ 239.12,230.89,239.12,199,2.1333619210977703,22.97921478060046,all
239.21 ~ 247.41,239.21,247.41,138,1.4794168096054887,15.935334872979215,all
247.52 ~ 255.82,247.52,255.82,103,1.1042024013722127,11.893764434180138,all
255.93 ~ 264.13,255.93,264.13,79,0.8469125214408233,9.122401847575059,all
264.24 ~ 272.52,264.24,272.52,58,0.6217838765008576,6.697459584295612,all
69.90 ~ 71.03,69.9,71.03,2,0.03251503820516989,0.35842293906810035,elderly
72.27 ~ 80.49,72.27,80.49,0,0,0,elderly
83.00 ~ 88.53,83,88.53,6,0.09754511461550967,1.0752688172043012,elderly
88.82 ~ 96.79,88.82,96.79,38,0.6177857258982279,6.810035842293908,elderly
97.01 ~ 105.13,97.01,105.13,72,1.170541375386116,12.903225806451612,elderly
105.45 ~ 113.35,105.45,113.35,139,2.259795155259307,24.910394265232974,elderly
113.41 ~ 121.53,113.41,121.53,238,3.8692895464152173,42.65232974910394,elderly
121.61 ~ 129.77,121.61,129.77,361,5.868964396033165,64.69534050179212,elderly
129.83 ~ 138.01,129.83,138.01,377,6.1290847016745245,67.56272401433692,elderly
138.05 ~ 146.26,138.05,146.26,486,7.901154283856283,87.09677419354838,elderly
146.29 ~ 154.47,146.29,154.47,497,8.079986993984718,89.06810035842294,elderly
154.51 ~ 162.70,154.51,162.70,542,8.811575353601041,97.1326164874552,elderly
162.73 ~ 170.92,162.73,170.92,558,9.0716956592424,100,elderly
170.93 ~ 179.13,170.93,179.13,499,8.112502032189887,89.42652329749103,elderly
179.16 ~ 187.32,179.16,187.32,455,7.39717119167615,81.54121863799283,elderly
187.38 ~ 195.58,187.38,195.58,415,6.746870427572753,74.37275985663082,elderly
195.61 ~ 203.81,195.61,203.81,333,5.413753861160787,59.67741935483871,elderly
203.83 ~ 212.03,203.83,212.03,303,4.926028288083238,54.3010752688172,elderly
212.04 ~ 220.15,212.04,220.15,200,3.251503820516989,35.842293906810035,elderly
220.34 ~ 228.44,220.34,228.44,173,2.812550804747196,31.00358422939068,elderly
228.52 ~ 236.65,228.52,236.65,133,2.1622500406437974,23.835125448028673,elderly
236.84 ~ 244.91,236.84,244.91,110,1.788327101284344,19.71326164874552,elderly
244.92 ~ 253.09,244.92,253.09,74,1.203056413591286,13.261648745519713,elderly
253.17 ~ 261.01,253.17,261.01,64,1.0404812225654365,11.469534050179211,elderly
261.40 ~ 269.47,261.4,269.47,51,0.8291334742318323,9.13978494623656,elderly
270.06 ~ 275.43,270.06,275.43,25,0.40643797756462363,4.480286738351254,elderly
64.05 ~ 64.05,64.05,64.05,1,0.031416902293433864,0.34965034965034963,young
72.28 ~ 80.51,72.28,80.51,0,0,0,young
81.46 ~ 88.40,81.46,88.40,10,0.3141690229343387,3.4965034965034967,young
89.81 ~ 96.85,89.81,96.85,23,0.7225887527489789,8.041958041958042,young
96.99 ~ 105.15,96.99,105.15,43,1.3509267986176563,15.034965034965033,young
105.41 ~ 113.38,105.41,113.38,95,2.9846057178762173,33.21678321678322,young
113.63 ~ 121.65,113.63,121.65,161,5.058121269242853,56.29370629370629,young
121.68 ~ 129.77,121.68,129.77,208,6.534715677034245,72.72727272727273,young
129.96 ~ 138.12,129.96,138.12,221,6.943135406848884,77.27272727272727,young
138.17 ~ 146.35,138.17,146.35,248,7.791391768771599,86.7132867132867,young
146.41 ~ 154.55,146.41,154.55,269,8.45114671693371,94.05594405594405,young
154.62 ~ 162.82,154.62,162.82,286,8.985234055922087,100,young
162.87 ~ 171.04,162.87,171.04,275,8.639648130694313,96.15384615384616,young
171.07 ~ 179.28,171.07,179.28,264,8.294062205466542,92.3076923076923,young
179.30 ~ 187.50,179.3,187.50,215,6.754633993088281,75.17482517482517,young
187.55 ~ 195.74,187.55,195.74,215,6.754633993088281,75.17482517482517,young
195.75 ~ 203.93,195.75,203.93,147,4.618284637134779,51.39860139860139,young
204.05 ~ 212.20,204.05,212.20,140,4.398366321080741,48.95104895104895,young
212.29 ~ 220.43,212.29,220.43,105,3.298774740810556,36.71328671328671,young
220.50 ~ 228.64,220.5,228.64,75,2.35626767200754,26.223776223776223,young
228.84 ~ 236.37,228.84,236.37,62,1.9478479421928998,21.678321678321677,young
236.94 ~ 244.78,236.94,244.78,51,1.6022620169651274,17.832167832167833,young
245.22 ~ 253.17,245.22,253.17,30,0.9425070688030159,10.48951048951049,young
254.11 ~ 260.71,254.11,260.71,27,0.8482563619227144,9.44055944055944,young
261.71 ~ 269.83,261.71,269.83,12,0.3770028275212064,4.195804195804196,young
